tconst	averageRating	numVotes
tt0002415	5.9	513
tt0002421	6.0	95
tt0002423	6.8	753
tt0002429	6.3	149
tt0002431	5.8	5
tt0002434	9.2	6
tt0002437	9.0	7
tt0002440	3.8	13
tt0002441	5.6	14
tt0002442	3.4	5
tt0002443	4.3	6
tt0002445	6.2	273
tt0002449	6.4	46
tt0002451	8.5	11
tt0002452	6.7	198
tt0002461	5.5	225
tt0002465	5.7	24
tt0002473	6.6	65
tt0002475	7.0	78
tt0002477	5.4	10
tt0002478	5.4	33
tt0002484	5.5	47
tt0002493	5.6	5
tt0002497	6.3	81
tt0002501	4.4	24
tt0002504	4.8	37
tt0002505	4.4	9
tt0002506	5.6	14
tt0002512	6.3	336
tt0002514	5.4	9
tt0002515	4.8	12
tt0002521	5.2	20
tt0002523	5.6	72
tt0002528	5.0	38
tt0002529	4.3	6
tt0002531	6.0	6
tt0002532	5.9	71
tt0002533	5.2	56
tt0002535	4.7	31
tt0002536	5.5	36
tt0002538	4.7	7
tt0002542	5.7	10
tt0002544	5.9	158
tt0002545	7.4	7
